id;name
78;Общество с ограниченной ответственностью
79;Община коренных малочисленных народов РФ
80;Объединения (ассоциации и союзы) благотворительных организаций
81;Объединения (ассоциации и союзы) благотворительных организаций
82;Объединения работодателей
83;Объединения работодателей
84;Объединения фермерских хозяйств
85;Объединения фермерских хозяйств
86;Организационно-правовые формы для деятельности граждан; не отнесенной к предпринимательству
87;Организационно-правовые формы для деятельности граждан; не отнесенной к предпринимательству
88;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ДЛЯ ДЕЯТЕЛЬНОСТИ ГРАЖДАН (ФИЗИЧЕСКИХ ЛИЦ)
89;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ДЛЯ ДЕЯТЕЛЬНОСТИ ГРАЖДАН (ФИЗИЧЕСКИХ ЛИЦ)
90;Организационно-правовые формы для коммерческой деятельности граждан
91;Организационно-правовые формы для коммерческой деятельности граждан
92;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ; ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ
93;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ; ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ
94;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ОРГАНИЗАЦИЙ; СОЗДАННЫХ БЕЗ ПРАВ ЮРИДИЧЕСКОГО ЛИЦА
95;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ОРГАНИЗАЦИЙ; СОЗДАННЫХ БЕЗ ПРАВ ЮРИДИЧЕСКОГО ЛИЦА
96;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ КОММЕРЧЕСКИМИ КОРПОРАТИВНЫМИ ОРГАНИЗАЦИЯМИ
97;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ КОММЕРЧЕСКИМИ КОРПОРАТИВНЫМИ ОРГАНИЗАЦИЯМИ
98;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ КОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ
99;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ КОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ
100;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ НЕКОММЕРЧЕСКИМИ КОРПОРАТИВНЫМИ ОРГАНИЗАЦИЯМИ
101;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ НЕКОММЕРЧЕСКИМИ КОРПОРАТИВНЫМИ ОРГАНИЗАЦИЯМИ
102;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ НЕКОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ
103;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ; ЯВЛЯЮЩИХСЯ НЕКОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ
104;Органы общественной самодеятельности
105;Органы общественной самодеятельности
106;Отделение иностранной некоммерческой неправительственной организации
107;Паевой инвестиционный фонд
108;Палата
109;Политические партии
110;Производственный кооператив
111;Производственные кооперативы
112;Производственные кооперативы
113;Профессиональные союзы
114;Публичное акционерное общество
115;Публичное акционерное общество
116;Религиозная организация
117;Религиозная организация
118;Российская академия наук
119;Российская академия образования
120;Российская ассоциация
121;Российская ассоциация
122;Российская Федерация
123;Российская Федерация
124;Российская федерация
125;Российская Федерация
126;Российский фондовый рынок
127;Российский фондовый рынок
128;Российское агентство международной информации
129;Российское агентство международной информации
130;Российское агентство международной информации
131;Российское агентство международной информации
132;Российское агентство международной информации
133;Российское агентство международной информации
134;Российское агентство международной информации
135;Российское агентство международной информации
136;Российское агентство международной информации
137;Российское агентство международной информации
138;Российское агентство международной информации
139;Российское агентство международной информации
140;Российское агентство международной информации
141;Российское агентство международной информации
142;Российское агентство международной информации
143;Российское агентство международной информации
144;Российское агентство международной информации
145;Российское агентство международной информации
146;Российское агентство международной информации
147;Российское агентство международной информации
148;Российское агентство международной информации
149;Российское агентство международной информации
150;Российское агентство международной информации
